d,raw,smooth,status,spx
2020-01-02,0.64,0.64,Neutral / Choppy,296.12530517578125
2020-01-03,0.28,0.46,Neutral / Choppy,293.8829040527344
2020-01-06,-0.08,0.19,Neutral / Choppy,295.004150390625
2020-01-07,-0.05,0.07,Neutral / Choppy,294.17462158203125
2020-01-08,-0.16,-0.04,Neutral / Choppy,295.74249267578125
2020-01-09,-0.19,-0.12,Neutral / Choppy,297.7477722167969
2020-01-10,-0.14,-0.13,Neutral / Choppy,296.8909912109375
2020-01-13,0.22,-0.05,Neutral / Choppy,298.9327697753906
2020-01-14,0.62,0.1,Neutral / Choppy,298.4769592285156
2020-01-15,0.53,0.19,Neutral / Choppy,299.1515197753906
2020-01-16,1.08,0.39,Neutral / Choppy,301.6400451660156
2020-01-17,1.1,0.55,Neutral / Choppy,302.5788269042969
2020-01-21,0.14,0.34,Neutral / Choppy,301.986328125
2020-01-22,-0.45,-0.05,Neutral / Choppy,302.0228271484375
2020-01-23,-1.67,-0.86,Neutral / Choppy,302.3691101074219
2020-01-24,-3.39,-2.13,Neutral / Choppy,299.68017578125
2020-01-27,-5.41,-3.77,Full Risk-Off,294.8764953613281
2020-01-28,-4.3,-4.03,Full Risk-Off,297.9666442871094
2020-01-29,-4.91,-4.47,Full Risk-Off,297.7203369140625
2020-01-30,-5.13,-4.8,Full Risk-Off,298.6866455078125
2020-01-31,-5.93,-5.37,Full Risk-Off,293.26318359375
2020-02-03,-4.15,-5.1,Full Risk-Off,295.44171142578125
2020-02-04,-3.07,-4.65,Full Risk-Off,299.9446105957031
2020-02-05,-1.95,-4.05,Full Risk-Off,303.4083251953125
2020-02-06,-1.66,-3.52,Full Risk-Off,304.4292297363281
2020-02-07,-1.72,-3.12,Full Risk-Off,302.80670166015625
2020-02-10,-1.53,-2.76,Full Risk-Off,305.06732177734375
2020-02-11,-1.04,-2.38,Neutral / Choppy,305.5959777832031
2020-02-12,-0.15,-1.89,Neutral / Choppy,307.56494140625
2020-02-13,0.17,-1.43,Neutral / Choppy,307.23663330078125
2020-02-14,0.2,-1.07,Neutral / Choppy,307.7289733886719
2020-02-18,0.0,-0.83,Neutral / Choppy,306.93597412109375
2020-02-19,-0.39,-0.73,Neutral / Choppy,308.40350341796875
2020-02-20,-0.54,-0.69,Neutral / Choppy,307.1365051269531
2020-02-21,-0.44,-0.63,Neutral / Choppy,303.9734802246094
2020-02-24,-4.05,-2.34,Neutral / Choppy,293.8921203613281
2020-02-25,-4.83,-3.59,Full Risk-Off,284.986572265625
2020-02-26,-5.86,-4.72,Full Risk-Off,283.93829345703125
2020-02-27,-6.62,-5.67,Full Risk-Off,271.1861572265625
2020-02-28,-7.91,-6.79,Full Risk-Off,270.0467224121094
2020-03-02,-8.23,-7.51,Full Risk-Off,281.74151611328125
2020-03-03,-8.41,-7.96,Full Risk-Off,273.6745910644531
2020-03-04,-7.52,-7.86,Full Risk-Off,285.177978515625
2020-03-05,-7.76,-7.84,Full Risk-Off,275.6981201171875
2020-03-06,-7.69,-7.81,Full Risk-Off,271.1405944824219
2020-03-09,-9.0,-8.4,Full Risk-Off,249.96597290039062
2020-03-10,-9.0,-8.7,Full Risk-Off,262.900390625
2020-03-11,-9.0,-8.85,Full Risk-Off,250.08441162109375
2020-03-12,-9.0,-8.93,Full Risk-Off,226.1570587158203
2020-03-13,-8.36,-8.8,Full Risk-Off,245.49041748046875
2020-03-16,-8.25,-8.68,Full Risk-Off,218.62789916992188
2020-03-17,-8.57,-8.65,Full Risk-Off,230.4320831298828
2020-03-18,-9.0,-8.83,Full Risk-Off,218.76463317871094
2020-03-19,-8.0,-8.64,Full Risk-Off,219.22955322265625
2020-03-20,-8.0,-8.5,Full Risk-Off,209.78201293945312
2020-03-23,-8.0,-8.39,Full Risk-Off,204.41822814941406
2020-03-24,-8.0,-8.3,Full Risk-Off,222.93922424316406
2020-03-25,-8.53,-8.42,Full Risk-Off,226.27664184570312
2020-03-26,-7.75,-8.27,Full Risk-Off,239.48890686035156
2020-03-27,-6.75,-7.93,Neutral / Choppy,232.3555450439453
2020-03-30,-7.25,-7.78,Neutral / Choppy,239.9014892578125
2020-03-31,-7.29,-7.67,Neutral / Choppy,236.32565307617188
2020-04-01,-7.45,-7.62,Neutral / Choppy,225.6898193359375
2020-04-02,-7.47,-7.59,Neutral / Choppy,230.897705078125
2020-04-03,-7.59,-7.59,Neutral / Choppy,227.5602569580078
2020-04-06,-7.3,-7.52,Neutral / Choppy,242.84463500976562
2020-04-07,-6.5,-7.3,Neutral / Choppy,243.0921630859375
2020-04-08,-6.0,-7.01,Neutral / Choppy,251.25244140625
2020-04-09,-4.7,-6.5,Neutral / Choppy,255.0758819580078
2020-04-13,-3.87,-5.91,Neutral / Choppy,252.74696350097656
2020-04-14,-2.55,-5.17,Neutral / Choppy,260.20123291015625
2020-04-15,-2.21,-4.51,Neutral / Choppy,254.67245483398438
2020-04-16,-2.61,-4.09,Neutral / Choppy,255.9010009765625
2020-04-17,-1.88,-3.6,Neutral / Choppy,262.81427001953125
2020-04-20,-1.92,-3.22,Neutral / Choppy,258.1841125488281
2020-04-21,-2.07,-2.97,Neutral / Choppy,250.3446502685547
2020-04-22,-2.3,-2.82,Neutral / Choppy,255.9010009765625
2020-04-23,-2.54,-2.76,Neutral / Choppy,255.88270568847656
2020-04-24,-1.01,-2.37,Neutral / Choppy,259.4493713378906
2020-04-27,0.2,-1.8,Neutral / Choppy,263.1902160644531
2020-04-28,1.81,-1.0,Neutral / Choppy,261.97991943359375
2020-04-29,2.78,-0.16,Neutral / Choppy,268.83819580078125
2020-04-30,4.18,0.81,Neutral / Choppy,266.3350830078125
2020-05-01,4.3,1.58,Neutral / Choppy,259.2843017578125
2020-05-04,4.05,2.13,Neutral / Choppy,259.9994201660156
2020-05-05,3.65,2.47,Neutral / Choppy,262.4017028808594
2020-05-06,2.9,2.56,Neutral / Choppy,260.6229248046875
2020-05-07,3.78,2.83,Neutral / Choppy,263.7678527832031
2020-05-08,4.51,3.21,Neutral / Choppy,268.1321716308594
2020-05-11,4.31,3.45,Neutral / Choppy,268.18719482421875
2020-05-12,2.36,2.91,Neutral / Choppy,262.841796875
2020-05-13,0.29,1.6,Neutral / Choppy,258.1932678222656
2020-05-14,-0.34,0.63,Neutral / Choppy,261.2830810546875
2020-05-15,-2.39,-0.88,Neutral / Choppy,262.4842224121094
2020-05-18,1.03,-0.46,Neutral / Choppy,270.4794616699219
2020-05-19,1.89,0.07,Neutral / Choppy,267.7011413574219
2020-05-20,2.73,0.66,Neutral / Choppy,272.24896240234375
2020-05-21,3.24,1.23,Neutral / Choppy,270.369384765625
2020-05-22,3.99,1.84,Neutral / Choppy,270.8828430175781
2020-05-26,7.1,3.01,Neutral / Choppy,274.22027587890625
2020-05-27,7.24,3.95,Moderate Risk-On,278.30035400390625
2020-05-28,7.48,4.74,Moderate Risk-On,277.7869567871094
2020-05-29,7.8,5.42,Moderate Risk-On,279.02471923828125
2020-06-01,8.13,6.02,Full Risk-On,280.15240478515625
2020-06-02,8.17,6.5,Full Risk-On,282.47210693359375
2020-06-03,8.39,6.92,Full Risk-On,286.2314147949219
2020-06-04,8.4,7.25,Full Risk-On,285.4794921875
2020-06-05,8.67,7.56,Full Risk-On,292.796142578125
2020-06-08,8.66,7.81,Full Risk-On,296.3353576660156
2020-06-09,8.6,7.98,Full Risk-On,294.1257629394531
2020-06-10,7.53,7.76,Full Risk-On,292.4845275878906
2020-06-11,3.68,5.72,Full Risk-On,275.623046875
2020-06-12,3.38,4.55,Full Risk-On,278.9238586425781
2020-06-15,6.38,4.96,Full Risk-On,281.52783203125
2020-06-16,6.33,5.26,Full Risk-On,286.9465026855469
2020-06-17,5.5,5.31,Full Risk-On,285.754638671875
2020-06-18,4.88,5.1,Full Risk-On,285.8646545410156
2020-06-19,2.86,3.98,Moderate Risk-On,284.2310485839844
2020-06-22,2.74,3.36,Moderate Risk-On,286.0543518066406
2020-06-23,2.94,3.15,Moderate Risk-On,287.3712463378906
2020-06-24,-0.29,1.43,Neutral / Choppy,280.0406799316406
2020-06-25,-1.19,0.12,Neutral / Choppy,283.04296875
2020-06-26,-0.57,-0.23,Neutral / Choppy,276.3203125
2020-06-29,-0.98,-0.6,Neutral / Choppy,280.3814697265625
2020-06-30,1.4,-0.16,Neutral / Choppy,283.9730529785156
2020-07-01,1.6,0.23,Neutral / Choppy,285.96234130859375
2020-07-02,1.89,0.6,Neutral / Choppy,287.5370178222656
2020-07-06,2.21,0.96,Neutral / Choppy,291.97576904296875
2020-07-07,2.13,1.22,Neutral / Choppy,288.96453857421875
2020-07-08,2.62,1.53,Neutral / Choppy,291.1745910644531
2020-07-09,2.46,1.74,Neutral / Choppy,289.51702880859375
2020-07-10,2.52,1.91,Neutral / Choppy,292.4731750488281
2020-07-13,2.25,1.99,Neutral / Choppy,289.9406433105469
2020-07-14,2.13,2.02,Neutral / Choppy,293.69793701171875
2020-07-15,2.94,2.22,Neutral / Choppy,296.3962097167969
2020-07-16,3.83,2.58,Neutral / Choppy,295.4200744628906
2020-07-17,3.06,2.69,Neutral / Choppy,296.2765197753906
2020-07-20,4.25,3.03,Neutral / Choppy,298.6709289550781
2020-07-21,4.42,3.34,Neutral / Choppy,299.30633544921875
2020-07-22,4.19,3.53,Neutral / Choppy,301.0099792480469
2020-07-23,3.75,3.58,Neutral / Choppy,297.4184265136719
2020-07-24,3.23,3.4,Neutral / Choppy,295.5029602050781
2020-07-27,4.33,3.61,Neutral / Choppy,297.6578674316406
2020-07-28,3.3,3.46,Neutral / Choppy,295.77001953125
2020-07-29,4.54,3.7,Neutral / Choppy,299.4075927734375
2020-07-30,4.51,3.88,Neutral / Choppy,298.33941650390625
2020-07-31,4.0,3.9,Moderate Risk-On,300.6968078613281
2020-08-03,3.53,3.72,Moderate Risk-On,302.78741455078125
2020-08-04,3.35,3.53,Moderate Risk-On,303.9569091796875
2020-08-05,4.17,3.68,Moderate Risk-On,305.8448486328125
2020-08-06,3.97,3.74,Moderate Risk-On,307.8891906738281
2020-08-07,4.26,3.86,Moderate Risk-On,308.1102600097656
2020-08-10,4.68,4.04,Moderate Risk-On,309.03118896484375
2020-08-11,4.26,4.09,Moderate Risk-On,306.480224609375
2020-08-12,4.75,4.24,Moderate Risk-On,310.7532653808594
2020-08-13,4.55,4.31,Moderate Risk-On,310.1914367675781
2020-08-14,4.51,4.35,Moderate Risk-On,310.20068359375
2020-08-17,5.69,4.65,Moderate Risk-On,311.18609619140625
2020-08-18,4.04,4.34,Moderate Risk-On,311.85833740234375
2020-08-19,4.42,4.36,Moderate Risk-On,310.5599060058594
2020-08-20,3.99,4.18,Moderate Risk-On,311.52691650390625
2020-08-21,2.9,3.54,Moderate Risk-On,312.6319274902344
2020-08-24,3.92,3.62,Moderate Risk-On,315.79986572265625
2020-08-25,3.95,3.7,Moderate Risk-On,316.905029296875
2020-08-26,3.51,3.6,Moderate Risk-On,320.0821838378906
2020-08-27,3.37,3.49,Moderate Risk-On,320.7819519042969
2020-08-28,3.34,3.41,Moderate Risk-On,322.8540344238281
2020-08-31,2.18,2.8,Neutral / Choppy,321.68450927734375
2020-09-01,2.15,2.47,Neutral / Choppy,324.7143249511719
2020-09-02,2.15,2.31,Neutral / Choppy,329.4110107421875
2020-09-03,1.07,1.69,Neutral / Choppy,318.0745849609375
2020-09-04,1.03,1.36,Neutral / Choppy,315.4776306152344
